Finals,Aff,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Norfolk Tides,BAL,26.4,4.86,90,59,0.604,4.62,5.05,149,149,147,2,8,40,1290.1,1214,724,662,143,676,1,1424,67,10,80,5724,1.465,8.5,1,4.7,9.9,2.11
Nashville Sounds,MIL,27.9,4.96,83,65,0.561,4.48,5.15,148,148,144,1,9,32,1282,1273,734,638,143,536,1,1305,76,7,63,5594,1.411,8.9,1,3.8,9.2,2.43
Durham Bulls,TBR,26,5.01,88,62,0.587,4.56,5.15,150,150,147,2,6,34,1315.1,1285,752,666,188,590,7,1341,80,9,58,5799,1.425,8.8,1.3,4,9.2,2.27
St. Paul Saints,MIN,26.8,5.02,84,64,0.568,4.59,5.17,148,148,144,0,2,30,1294.1,1254,743,660,147,688,5,1354,70,9,56,5745,1.5,8.7,1,4.8,9.4,1.97
Scranton/Wilkes-Barre RailRiders,NYY,27.1,5.14,73,75,0.493,4.67,5.33,148,148,144,0,3,33,1284,1185,761,666,199,643,5,1376,102,13,60,5702,1.424,8.3,1.4,4.5,9.6,2.14
Indianapolis Indians,PIT,26.1,5.23,70,78,0.473,5.05,5.44,148,148,143,1,7,30,1281.2,1255,774,719,147,646,5,1317,85,8,67,5709,1.483,8.8,1,4.5,9.2,2.04
Gwinnett Stripers,ATL,27.3,5.26,70,78,0.473,4.95,5.43,148,148,143,3,8,28,1290.1,1284,779,710,164,612,0,1269,58,12,75,5654,1.469,9,1.1,4.3,8.9,2.07
Lehigh Valley IronPigs,PHI,27.2,5.29,80,66,0.548,5.07,5.49,146,146,142,1,7,31,1268.1,1224,773,714,158,734,13,1207,85,8,89,5680,1.544,8.7,1.1,5.2,8.6,1.64
Buffalo Bisons,TOR,27.8,5.32,76,72,0.514,5,5.52,148,148,145,0,3,27,1282.1,1223,787,712,192,685,4,1376,79,17,64,5704,1.488,8.6,1.3,4.8,9.7,2.01
Worcester Red Sox,BOS,27.5,5.35,79,68,0.537,5.01,5.62,147,147,142,1,3,35,1259,1274,786,701,197,647,2,1269,75,15,68,5668,1.526,9.1,1.4,4.6,9.1,1.96
Columbus Clippers,CLE,26.6,5.5,68,79,0.463,5.32,5.71,147,147,143,2,7,24,1273,1218,808,753,214,767,8,1302,82,14,97,5724,1.559,8.6,1.5,5.4,9.2,1.7
Jacksonville Jumbo Shrimp,MIA,27.3,5.54,70,79,0.47,5.18,5.77,149,149,142,4,5,31,1287,1301,825,741,195,673,5,1193,82,11,66,5761,1.534,9.1,1.4,4.7,8.3,1.77
Memphis Redbirds,STL,25.6,5.57,71,78,0.477,5.09,5.67,149,149,149,0,7,29,1316.2,1457,830,744,185,633,2,1310,63,8,61,5957,1.587,10,1.3,4.3,9,2.07
Toledo Mud Hens,DET,26.8,5.6,70,78,0.473,5.42,5.85,148,148,146,0,4,30,1276.1,1349,829,769,187,665,0,1470,91,7,71,5798,1.578,9.5,1.3,4.7,10.4,2.21
Iowa Cubs,CHC,26.8,5.65,82,65,0.558,5.34,5.89,147,147,144,0,6,34,1270,1220,831,754,173,753,15,1395,88,12,78,5741,1.554,8.6,1.2,5.3,9.9,1.85
Omaha Storm Chasers,KCR,26,5.66,68,77,0.469,5.33,5.8,145,145,144,0,2,27,1274.1,1303,821,755,208,695,11,1282,73,6,79,5750,1.568,9.2,1.5,4.9,9.1,1.84
Rochester Red Wings,WSN,27.9,5.97,66,80,0.452,5.52,6.19,146,146,142,1,4,30,1268.1,1334,872,778,171,731,16,1195,71,11,86,5801,1.628,9.5,1.2,5.2,8.5,1.63
Syracuse Mets,NYM,26.8,6.12,61,85,0.418,5.8,6.38,146,146,144,0,7,21,1260.2,1344,894,813,232,686,15,1273,60,18,60,5752,1.61,9.6,1.7,4.9,9.1,1.86
Louisville Bats,CIN,27.8,6.39,75,73,0.507,6.16,6.62,148,148,145,0,2,25,1284.2,1334,945,879,221,793,4,1182,89,15,79,5906,1.656,9.3,1.5,5.6,8.3,1.49
Charlotte Knights,CHW,27.2,6.48,53,96,0.356,6.25,6.83,149,149,146,0,0,27,1271.2,1412,965,883,216,761,9,1240,87,15,75,5931,1.709,10,1.5,5.4,8.8,1.63
League Totals,,26.9,5.5,1477,1477,0.5,5.17,5.7,2954,2954,2886,18,100,598,25630.1,25743,16233,14717,3680,13614,128,26080,1563,225,1432,115100,1.536,9,1.3,4.8,9.2,1.92
